Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
xQcOW,6196161750,215250,222720,27716,3246298,1734810,93036735,True,False,English
summit1g,6091677300,211845,310998,25610,5310163,1370184,89705964,True,False,English
Gaules,5644590915,515280,387315,10976,1767635,1023779,102611607,True,True,Portuguese
ESL_CSGO,3970318140,517740,300575,7714,3944850,703986,106546942,True,False,English
Tfue,3671000070,123660,285644,29602,8938903,2068424,78998587,True,False,English
Asmongold,3668799075,82260,263720,42414,1563438,554201,61715781,True,False,English
NICKMERCS,3360675195,136275,115633,24181,4074287,1089824,46084211,True,False,English
Fextralife,3301867485,147885,68795,18985,508816,425468,670137548,True,False,English
loltyler1,2928356940,122490,89387,22381,3530767,951730,51349926,True,False,English
Anomaly,2865429915,92880,125408,12377,2607076,1532689,36350662,True,False,English
TimTheTatman,2834436990,108780,142067,25664,5265659,1244341,50119786,True,True,English
LIRIK,2832930285,128490,89170,21739,2666382,199077,50504526,True,False,English
Riot Games (riotgames),2674646715,80820,639375,20960,4487489,497678,56855694,True,False,English
Rubius,2588632635,58275,240096,42948,5751354,3820532,58599449,True,False,Spanish
auronplay,2410022550,40575,170115,53986,3983847,3966525,41514854,True,False,Spanish
MontanaBlack88,2408460990,67740,181600,33514,2911316,1101093,37189666,True,True,German
sodapoppin,2329440420,115305,107833,19659,2786162,236169,39334821,True,True,English
풍월량 (hanryang1125),2186662470,181230,26999,12201,494445,92205,34405975,True,False,Korean
alanzoka,2055003870,103770,89153,19560,3445134,1325075,46515698,True,False,Portuguese
CohhCarnage,2029212570,175230,43615,11343,1264808,124242,38718674,True,False,English
Lord_Kebun,1943299035,153720,34830,12367,434200,137215,19645967,True,False,English
LCK_Korea,1916365860,47325,140557,39848,619382,255088,76225485,True,False,Korean
Castro_1021,1845157080,100215,125133,17779,2411995,550678,22672980,True,False,English
DrDisrespect,1839882465,73065,97540,23794,4450718,825004,43919410,True,False,English
TheRealKnossi,1811696100,56010,288459,24595,1260160,1082039,25342894,True,True,German
TheGrefg,1757406750,54855,538444,28887,3795667,3593081,47094362,True,False,Spanish
YoDa,1690237110,135675,123796,12868,1792625,383130,38499423,True,False,Portuguese
Pestily,1659741015,138300,168112,8481,616168,520342,24029726,True,False,English
한동숙 (handongsuk),1621667925,127815,44976,12869,385250,73602,30610352,True,False,Korean
GamesDoneQuick,1619144100,87450,234826,6734,1724316,113469,43345080,True,False,English
Solary,1546597380,486510,24470,3187,493207,143569,48799554,True,False,French
Gotaga,1538511315,141675,81644,10750,2401580,632118,39591707,True,False,French
MOONMOON,1527882945,124680,24892,11220,923448,95776,13505898,True,True,English
DrLupo,1517612010,172350,90696,8311,4115083,567795,47295386,True,False,English
OgamingLoL,1483207890,496950,204491,3020,523758,115965,71583995,True,False,French
Myth,1479214575,134760,122552,9396,6726893,1421811,37384058,True,False,English
Evelone192,1474742220,83010,106900,16422,1075101,826433,47400543,True,False,Russian
nl_Kripp,1470897720,155895,29316,9256,1379123,96793,20034033,True,False,English
LEC,1470431925,45660,305119,28830,973727,551345,25924096,True,False,English
dota2mc_ru,1464683175,66675,182869,19495,428284,156721,38774178,True,False,Russian
Fresh,1464179820,147660,57431,9728,3135667,1875187,25341820,True,False,English
LCS,1461310140,31125,214124,46459,1162746,526244,28313058,True,False,English
ROSHTEIN,1435735725,118995,45843,11717,381918,242369,17836875,False,True,English
ibai,1412913285,57795,173238,22837,1894953,1602088,44178173,True,False,Spanish
TFBlade,1394312895,141285,35833,9117,1008040,450146,35978104,True,False,English
Sardoche,1361024835,164235,144066,8066,746865,370358,32261961,True,True,French
LCK,1351758525,37140,171861,36030,934688,307853,28970100,True,False,English
Yassuo,1347412425,103905,70587,10531,1878416,689957,32362117,True,False,English
HasanAbi,1339344945,193560,44649,6543,470123,340810,14154952,True,False,English
BeyondTheSummit,1339097490,505080,116547,2635,923689,114948,42403593,True,False,English
Dota2RuHub,1330625430,92160,105359,13189,777510,126221,43831479,True,False,Russian
Bugha,1324519320,100470,66311,12982,2942212,2220765,49441744,True,False,English
